uid,community_label
785959993021900128,0
-3031314609018239641,0
-3008988729444227729,0
5322379801856181618,0
-3384937805545224842,0
-203010107884690053,0
-285906983373265534,0
4247428301622060419,0
-3253223477304597114,0
-2925866449997970034,0
7843932349749003658,0
-6242057207066720875,0
8114152693408867737,0
-8634522858165140056,0
7816119648554059171,0
-7280622919813151319,0
-7239335322121517652,0
-43211146370988630,0
396811928974583210,0
-6353852287934372433,0
5307325814002853293,0
3343760324886226355,0
-5749683647199820357,0
1361503795935593916,0
-1787210376215583300,0
1657681311403492801,0
6021936243494061505,0
-2105149881203210809,0
77260418563483087,0
256824130065802705,0
5079193158009685458,0
3464320805493597655,0
3317344595946997215,0
-9056810846237686295,0
8921011664066119140,0
-4243639411216661016,0
-7473066764992068117,0
-5802784259993655829,0
6677016796275074541,0
5981063927239239155,0
8286332341137475062,0
6303390146438383101,0
4942510473699673612,0
-3339463127123941870,0
-5344789221155879400,0
436947279652767262,0
4190046753465247261,0
8029820301100279325,0
-3357257866888141275,0
-2630077364278557143,0
-116225970039953880,0
166280388069934638,0
-2634302336284187088,0
7523091646816388653,0
-616163577939728847,0
-2425167375122971085,0
799513846669829682,0
-5958270925421017542,0
-7492593296345168319,0
3606007078146049600,0
-942219257844169150,0
2880790573414082120,0
-1082523075047578038,0
3304720201970755146,0
-1338291040571234737,0
-6981368557021428134,0
-8672789407247063462,0
2752835407379424859,0
-745439003659598238,0
4851291028033267296,0
3968943514958005863,0
-7600683280412457364,0
-214560627236305301,0
2248476347175396972,0
6365134993215374956,0
5563637582766655092,0
-8098652247254669703,0
6879929395999049335,0
-4012275807442639230,0
-8095473075596597623,0
8116313247222900355,0
-1174629558473431417,0
-7119672502674602355,0
-3590067819205220720,0
-4375802900712962413,0
1722026837328537241,0
-8808384647477139810,0
-2722254580131207521,0
7377136125071771293,0
4772959606496396961,0
-9124422636529219927,0
208556869526955686,0
-7131996267940518230,0
-4511927577899096405,0
-2123777105584126292,0
-8203063928165759304,0
5341370238543816371,0
-5055565281600043334,0
2757601466934486718,0
-5863316838786529596,0
8545971683444623045,0
4066983442495203017,0
-9147610095127247153,0
-4763052167725275441,0
3131410513626629842,0
8720794433899996886,0
-8086557581062879506,0
-7223912668341270801,0
-6357698228725037328,0
8013733771332257516,0
2135318160534120174,0
-3234641351570077962,0
-1400995456547453186,0
4281245333776738045,0
-126623287900240128,0
-8650222704839383292,0
873219270825649922,0
-432446630418782459,0
-2937423811970275571,0
-7881266676125096173,0
8290698615988561680,0
-240143494094026983,0
-6895725790096578776,0
1516273282896783143,0
-7506449302891239630,0
8600223375110997806,0
-6739846298048272588,0
6113305132160689972,0
-7247041594178427078,0
140746097956824889,0
1393148017708599103,0
5800735905215473469,0
-194860112110762174,0
-7272573986405472437,0
8215481123159590726,0
-962354088726976694,0
-3241912517414459570,0
-7505986411475024037,0
-4996456725607274651,0
-5950302338025355416,0
-3996387437513095320,0
7039004673590183784,0
-1498804069139880080,0
8841399053455935346,0
-7627235407017998471,0
8767228651264591737,0
135438764566521725,0
-4768372785920465020,0
-1651657408631076988,0
