node,community
2347893747,0
142083059,0
50750455,0
1324549112,0
163824633,0
311567353,0
4023264249,0
4734878716,0
548627453,0
143762433,0
2221360135,0
237372425,0
179627024,0
3299927061,0
1666720808,0
2790425659,0
1365484604,0
210863178,0
760497230,0
2422621268,0
3008742485,0
369894488,0
1149146847602249728,0
137921643,0
226911340,0
1126605898628173824,0
1181937754894209024,0
1148665699033911296,0
879532255735156736,0
191857779,0
305136757,0
249291897,0
1137263738,0
164430974,0
863437951,0
843989560921067520,0
1072270058259386368,0
744971336213237760,0
1169230836895485952,0
1184574573704024064,0
723654545889464321,0
1156259051887562753,0
1089948022140735489,0
958024278045265920,0
1102297116360216576,0
909419844008841217,0
951978466123091969,0
1184570647223111681,0
1085539975666503681,0
1084221684519964673,0
845687890604625922,0
171721871,0
1141785403411828739,0
344040591,0
37831835,0
2437579938,0
866354340,0
202302628,0
142746796,0
17548465,0
464331964,0
495355072,0
544433345,0
2981594310,0
478659792,0
138495189,0
290268383,0
268575974,0
2237105393,0
737630289954906112,0
109102347,0
1859134734,0
141722906,0
2535843103,0
176669984,0
430818600,0
733218102,0
1895884087,0
305587516,0
330384707,0
186516810,0
81462603,0
147350861,0
2478974288,0
264775027,0
144024954,0
735989912277790720,0
1136058027818266624,0
1038805020156801024,0
1093676231961260032,0
980526922550652928,0
875526145051111424,0
1122357520239079424,0
1074854080957296640,0
1159473143204982785,0
858379446318968833,0
1017094859969179649,0
964529078765223936,0
975180469431042048,0
913095226813710336,0
835211514806140928,0
1078392622773874690,0
1098301546746523650,0
47768974,0
915373233616105474,0
1099661971744534530,0
317523349,0
930921913622376451,0
1163506809275068420,0
1000164687013609473,0
1127945306295894017,0
557573542,0
601499048,0
1616324022,0
125814208,0
151913926,0
142427599,0
246080978,0
1118201298,0
434841055,0
310633951,0
67397088,0
104809973,0
2450630150,0
187041287,0
982096548170350593,0
5031441,0
1385621016,0
170452504,0
2610071066,0
64112155,0
3998508573,0
148031006,0
138815010,0
538732066,0
75679268,0
1533625897,0
554788395,0
81430069,0
193586741,0
1040301140838109184,0
877254556865974272,0
1082056177645703168,0
859809344,0
4755482177,0
788034,0
1432954436,0
1453778504,0
239158858,0
1328055889,0
1110534702237143041,0
948237145914920961,0
633398869,0
1096722006,0
4442596955,0
581363291,0
10200672,0
2839029346,0
4096878190,0
174671474,0
88934008,0
1657792122,0
203728509,0
847940322957119488,0
877641798180589568,0
731936940241637376,0
1109551162167054336,0
927048557932236800,0
976431926880948224,0
1014100492220289024,0
921710135461990400,0
946221461609566208,0
953424758166704128,0
976968857746329601,0
1025620317585199105,0
969794396030947329,0
937045284462448641,0
963908388643065857,0
1087347833324359682,0
983143316895223810,0
992197183062593538,0
1105914563860549635,0
390497940,0
54339228,0
179791533,0
607323827,0
241149620,0
2563860152,0
1241589432,0
151504580,0
173147844,0
766895815,0
145786569,0
264914636,0
195315417,0
14960350,0
2257364703,0
998549226,0
3387860716,0
309405428,0
3933996796,0
134571774,0
298936074,0
137692942,0
168904468,0
140191516,0
271378207,0
4879853344,0
205047589,0
59173,0
857089838,0
2743322419,0
305129276,0
132286275,0
136857411,0
91604803,0
757950283,0
173549394,0
1097148247,0
1126532960,0
110602086,0
707741544,0
61368177,0
715349270208114688,0
776362441018109952,0
765015364002574336,0
779175890488061952,0
720066543904813056,0
717035577871364097,0
709503706044231681,0
715895911839363073,0
173172617,0
797902008573423617,0
3251324817,0
274032571,0
174495489,0
264308676,0
455870413,0
35997657,0
4838623198,0
201893857,0
2696054760,0
197101546,0
141436912,0
385746929,0
2412931069,0
62326783,0
836730848762200065,0
3293816845,0
134899729,0
88573972,0
242018335,0
635734056,0
213624880,0
856590386,0
149358646,0
355043389,0
138643517,0
477997126,0
1623074893,0
51554390,0
540002397,0
109168733,0
171583581,0
1253271654,0
151160937,0
98666603,0
419776622,0
37210226,0
338577523,0
167929971,0
136038524,0
126937215,0
713723145627308032,0
757590919877169152,0
719715796369477632,0
97339522,0
292292742,0
3436243090,0
3094988961,0
52668582,0
152004781,0
324995251,0
944769204,0
1363404985,0
1024804775299309568,0
910172777537265664,0
1018894845212024832,0
2924841153,0
704481304864284672,0
969896080358957056,0
369109190,0
881567970,0
85010673,0
1920600306,0
1551173881,0
712021679313068032,0
27289859,0
381159688,0
615672073,0
209357070,0
210577683,0
1714243868,0
2924169509,0
151546160,0
101009713,0
3249547570,0
73738547,0
510437685,0
123627831,0
215517499,0
2715535688,0
174877000,0
3119982921,0
134015308,0
199805267,0
36186453,0
4925696349,0
419916128,0
63506794,0
75958644,0
125839738,0
2606754174,0
156494207,0
262916486,0
248367509,0
75278752,0
2682620322,0
417917347,0
115018151,0
353421736,0
91810225,0
40102323,0
3149752761,0
3377601,0
3105360326,0
