uid,original_uid
-1176561662787797494,98409788
-3377617136572547607,1071074773705347072
8109818522685180979,303557479
-1459805819948685209,23874077
6813369219693957338,292488373
-7933078497415811025,2394519670
432297689948848712,828667226387574784
-2520032124321096856,168256484
2530452927885299135,4212332140
322370128144447410,4186152443
-4051955224010945838,767556425585393665
-7144711222989836102,3000647573
2105349226835315657,4835679579
-2184512650976531641,2955256527
-5097465295487558248,900157192497762305
6909932804051807976,1074005739528773632
-3936949961260322176,1710560101
-1491433666756521650,1149624313
4541761905742017743,181738687
77260418563483087,3430531815
-6540352015798377388,210802991
-4209820388905993377,62806842
1052112434986206234,962798374838788098
2282883412656728691,136296830
8389181802264433116,146431317
-1747528598985312797,4702133172
-6547451971483966335,33989170
-5258886767622338430,874812816192139265
-7991034514808562576,930188637102329856
-6367609480173836772,1293322147
-3700430138069711373,4205009541
-8617509525321380260,37758139
4482049877189077337,326545930
5383077508111826226,1066308710702686208
7306323683761853297,126307503
-7049708135864116393,178432723
5726068682769446930,1015330438552932352
3266652864858253621,1073420341735763968
2703087802503917782,2182219762
3449195621966830753,752220375879184384
6508609102026268841,118509623
8008487820379086733,1206084914
8662962699424948478,254390654
-825628210046232399,1048759634549460992
1484382435652206801,2379696240
-5790078889152302318,836364132412698625
-8714487095249858218,1578584004
1299810825072394506,972586858793308162
-9017465598966926823,1264588496
-385477296366218739,86597139
1465650191536512955,1369781191
6760134656301208091,2418836680
7405471049944582968,1586099857
5516580814439990198,1086810923241820160
2705385886641876450,147634687
-5200635622221289364,4096878190
-524267788307605058,96865204
-3898828708655498472,267447795
7815495806602694861,825201701900648448
-4620040885687739878,42995297
3070243198368169960,452666079
7937211197541329169,92765615
-1164200841612225837,998549226
-2480158984807353959,937998581100933121
-1350777897044896816,318883244
-1554968773379231913,2173188342
-2068532173957446777,16294264
-1650824014501198609,771840093493616640
6523638582766546577,149203533
-5847219196030337090,1066559334342164480
-3960825804876203195,65463088
4591756761221619379,1001657661337849858
3829832589632239332,1514807270
-3243256994742824362,327355527
3538635153831912140,2951123609
-369960124122125835,958112006
7087302970851637438,281598498
-9003031782148351385,3508080508
6426611419964418535,364028241
-7652678775028853879,234178440
-7685887319157839491,375379004
3121836463886793607,423680172
6631548297042956936,1072209384
-6542709805705148787,2395269181
-3655552950414196973,36001888
-201141308962498312,2367781093
4699485721371874514,1152302041
-4225193872988763619,186552905
-624794808769524459,253522907
-6920805148962529295,182111598
-7334207916288018307,1028679850792574978
8598354822562087108,208995909
-1713661832566964017,88974230
-8101150240477448297,1429204638
-1149887432572205218,1088629963253837824
5314271200310540083,887488525175853057
6561077033445656984,47224350
-5954068599618830169,974047788546879489
-8212494260906709189,739111348953583617
-412438991831904741,1201290342
7261009045622223697,3031287259
-3476206076450791251,496500008
-5121307245415187680,1012301509017653248
-4087666002172316164,2693534743
-7496032391022617935,2858606275
-1080620785058451377,1019477059519897600
-7099405408041302621,111691164
-6733831238780072281,442317173
6192917659492229222,159035296
8384985567536995729,3419991129
6679906083195021880,2223092347
8390707793139794468,787239459771322368
-2803820446335249411,2536719328
7346848694920932552,2709972848
-8608374367716267961,307994259
1437765761687804373,1013623711679827968
-5455596331152278189,1074405248465285120
-6292172124059286966,3035882945
7643942990922794568,2366410560
2708938774179737537,984211264753815552
-1612743352965008973,82181811
-3538936759203422244,925345019254460417
8544007734569944071,3147891377
-4559980602967153283,225539130
3666026129259017993,731294706974490624
-8602777972929376658,597419709
-8456357923411919074,551926583
-5299597275099613700,932588769370427393
5189972423905211665,1496440238
-3751037124004544754,4448740767
-6123462280028091673,3297159790
3427045749020882621,2353285654
-4220549659775983165,975794365321932800
-8482576849639121511,2430722358
-7671117584985921421,3289139845
-7874150136395121712,4615799475
79225202385034307,1020463171231002631
4163537717502034477,1431189150
-2327631812054471680,2742622018
4003578020902723347,779345912430792704
-6403606856725074398,260957669
-4931488175418554131,1368357152
-8713500415980082392,4800209955
8985440174880004703,4433293101
6885371856987131915,1553916055
-3024780748757893600,146295237
-6449912082567885185,1498952340
4265730590943755932,1024769036108881923
2032733721861902578,4193307977
-4044540546858767259,200670556
-2010467709005966693,171292200
-9165252356473269752,2437274341
8111795109737935551,744237211
4762871071659173776,156242969
-8797722667792556716,1072592223160672256
-7646116674924089875,193418302
1638154109684007396,1312170816
6747025161645547205,700588937387986945
-7107666370032127892,997509545156120578
3433520692117154280,837134281692561409
-2958257114638216364,274472755
-2839985483131803854,1064999183227265025
-8044106260469361119,3016004777
-635440881065661035,955617416234655744
2851541875135554629,894228809792315392
-6120131843529157737,943519444235685888
-2153799891955070630,269321968
5301585758021169237,4660137161
-7361594403471588115,1027510050695380992
2614780135929005771,981211416010153989
-3329943273397969564,452888102
7649865176956645349,1020456512
3614422562928354075,4648162216
-5708750166363117404,1014581050289410048
-1397867825418257721,1422340812
8209218622343188598,2693890020
8509785684164471807,33387547
-8297498083198882361,199153978
-1405049102465934775,255222903
-6625670504364713433,726120809958354944
3504833070568562829,1017582795223420928
-3440564279043346172,614310062
-6417837752649219516,1324873472
-3346023550899995432,2482223191
4978560683787315517,226034875
-470299869526537355,864529837473615872
5860157555136486727,28919377
8130450542634200189,44126150
-7534525420690392112,73007337
7895140100562647759,323446256
-1057807604849330085,992549380996714496
6830630491449865941,1066442034687422464
8297591763204410018,295383682
-1540541953313689612,1029602667105067008
1811269966246655039,3008742485
-6882783549791977831,2389921658
8128708580285593022,1097623978980663297
2325227889402753734,314175066
2924484292468217958,89563373
4104283506373494341,1099111736030973952
6777727930280663718,1101219724917202950
9183015835645684265,1099172501580668929
-5099841445612911778,141299097
-542355761760703997,380338081
-2733783247287325080,1348087777
-3956562639292182514,794573581
476762261561918236,62664028
-4519428368389593657,2339018796
-1843038713472120442,1183806205
6653836997323198491,1954153813
-2737621447235958189,150936807
841342120446295290,3242706819
-55677098111507886,895766485414686720
4054302319743641400,590630562
4617567799109260041,923607769
8581915084866290342,171783490
4945069968842792680,1532473262
2047191942358324820,1025125079632502786
